Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Frank J. and Harvey J. Ablah House,"102 N Pinecrest St, Wichita",Wichita,5,3,37.6866813,-97.2756285,"point_of_interest, establishment",Good location in downtown area. Fun decor in a historic house. This Airbnb is a a great value.
Wichita-Sedgwick County Historical Museum,"204 S Main St, Wichita",Wichita,4.7,241,37.6847302,-97.33786979999999,"museum, tourist_attraction, art_gallery, park, store, point_of_interest, establishment","Well- worth one's time!  This gem of a local museum dedicated to the history of the Wichita and its environs in Sedgwick County is well worth the effort to explore.  The volunteer staff is friendly, intelligent, and helpful, the museum store is ideal with many small gifts to select from, and the parking is easy on a weekend (I went on a Sunday afternoon when the downtown area was largely uninhabited.) As another reviewer commented, the museum is definitely geared toward adults, and I concur. However, children might be engaged for an hour or so exploring the classically restored building and viewing items from previous generations. The building has been magnificently restored to its original stately bearing, which in and of itself makes a visit worth one's time and effort. Don't forget to leave a donation if you can as this non-profit museum is well worth preserving for future generations."
Harvey County Historical Society,"203 N Main St, Newton",Newton,4.8,16,38.0442092,-97.345556,"museum, point_of_interest, establishment",I have so much Respect for the Harvey County Historical Society.  We as a community of Harvey County are blessed to have them. We have no future without reminders of our past.  I'm very grateful to have been a part of the reenactment!
Historic Chisholm Trail Mulberry Tree Marker,"1211-1347 W Maple St, Wichita",Wichita,4.3,7,37.6803338,-97.3556931,"point_of_interest, establishment","Very small plaque, hardly noticeable while driving to find it."
Augusta Historical Museum,"303 State St, Augusta",Augusta,4.8,33,37.6739215,-96.9791917,"museum, tourist_attraction, point_of_interest, establishment","Absolutely fantastic. Really neat information, great staff!

My family visited for the annual tea party and it was exquisite!! I would have paid 2x the price for the tickets for an extra 30 minutes.   🤣 so my only complaint about that event was that I couldn't sit there all day and enjoy the wonderful ambiance they created. It is truly a special event. We look forward to going  back to thoroughly explore the museum."
Historical Marker,"600-614 W Stackman Dr, Wichita",Wichita,0,0,37.6947307,-97.3546094,"point_of_interest, establishment",No description available
Soldiers and Sailors Monument,"101 E 1st Ave, Hutchinson",Hutchinson,4,3,38.0532316,-97.92988100000001,"point_of_interest, establishment","The Soldiers and Sailors Monument in downtown Hutchinson is truly a sight to behold. Standing tall, it serves as a poignant memorial to honor our veterans. The monument is flanked by two large cannons, adding to its majestic presence. At the base, beautiful flowers are meticulously maintained, providing a serene and respectful atmosphere. It's a fitting tribute to those who have served, and a must-see for anyone visiting Hutchinson."
Towanda Kansas Historical Marker,"Q288+3G, Towanda",Towanda,4.2,10,37.765154,-96.98370779999999,"point_of_interest, establishment","No TP men’s room in none of the 9 stalls. Also, toilet  seats loose slide all over the place. Also, they have not clean the inside of the stall or door walls and what looks like a year worth of unfortunately spittle. They need to take a garden hose and wash all walls down. And use soap not just water to wash all the stall walls."
Spanish-American Memorial,Wichita,Wichita,0,0,37.6974268,-97.3494597,"point_of_interest, establishment",No description available
Towanda Area Historical Museum,"401 Main St, Towanda",Towanda,4.4,7,37.7955768,-97.0029001,"museum, point_of_interest, establishment","Visiting town and decided to stop in!
Glad we did! We were met with a happy and enthusiastic volunteer who had a lot of knowledge! It made learning history fun!
We will be in again!"
Old Town Information,"151 N Rock Island Ave, Wichita",Wichita,4.5,6,37.6876891,-97.3284499,"point_of_interest, establishment",I love old town. Its comfortable and easy to walk from shop to shop.
Delano Clock Tower,Wichita,Wichita,4.5,22,37.6840349,-97.346959,"point_of_interest, establishment","Ok, I'm not sure why I am being hit up to rate the clock tower at the Douglas roundabout, but ok, here goes... It's a clock, it's always had the right time on it on my way by, it's nice looking and definitely compliments the area in my humble opinion. I hope Google's happy, they goaded me into reviewing a clock."
Historic Florence Spring House,"Whitetail Rd, Florence",Florence,5,2,38.2656635,-96.9370203,"point_of_interest, establishment","The pump itself is dilapidated and is in desperate need of cosmetic repairs. This is the view from the area, though. Breathtaking!"
Valley Center Historical Museum,"112 N Meridian Ave, Valley Center",Valley Center,5,1,37.8328509,-97.37181369999999,"museum, point_of_interest, establishment",
Historic McPherson Sante Fe Depot,"400 N Chestnut St, McPherson",McPherson,4.4,5,38.3723454,-97.6711772,"point_of_interest, establishment",Cool Old Building. Atmosphere was nice. The Old man in Coveralls was a bit Handsy. The Taco were Yummy.
Historic Wichita Cowtown Inc. Board of Trustees,"1865 Museum Blvd, Wichita",Wichita,5,1,37.6942464,-97.3610666,"museum, point_of_interest, establishment",
Historical Museum & Library,"203 N Main St, Newton",Newton,2,2,38.0441586,-97.3453629,"museum, point_of_interest, establishment","Twice we have tried to visit this place. On both the website and the door of the building itself, it says that is open 1st and 3rd Saturdays from 10-4. We have tried both Saturdays. This has happened so many times with both this building and others in Newton that I now believe Newton should just be renamed ""Disappointment"". If the building is actually closed for good, please update the website or provide a sign on the door."
Former Rock Island Railroad Depot,Hutchinson,Hutchinson,3.8,6,38.0473891,-97.9297192,"point_of_interest, establishment",It was well lit and easy to get to
Souders Historical Farm Museum,"39925 West 39th St S, Cheney",Cheney,4.9,25,37.616844,-97.79978000000001,"museum, tourist_attraction, point_of_interest, establishment",A super interesting historical museum that is seemingly in the middle of nowhere. There are many unique and just plain cool antiques and artifacts that you can literally get up close and personal with. I recommend a stop if you are in the area!
Center of Wichita,"100 E Douglas Ave, Wichita",Wichita,5,2,37.6860019,-97.33817789999999,"point_of_interest, establishment",Wichita Toy Run
