Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Haskell County Historical,"Fairgrounds St, Sublette",Sublette,4.9,14,37.478262,-100.8364858,"museum, tourist_attraction, point_of_interest, establishment",Wow so much stuff from the past this place was surreal. Really made me stop and think and the kids absolutely loved it too.
Indian Mound,Hartland,Hartland,4,1,37.8952384,-101.3393055,"point_of_interest, establishment",Beautiful and peaceful.  Very interesting history behind it.
Historic Adobe Museum,"300 E Oklahoma Ave, Ulysses",Ulysses,4.8,31,37.5770652,-101.3552232,"tourist_attraction, museum, point_of_interest, establishment",A sudden change in weather forced us to cancel our distance travel plans so decided to make a short trip to visit this museum since we already had day together planned. Was well worth the 30 minute drive. An excellent museum that showcases the changes in the area over the past 150 years. The exhibits are well put together and organized for a visitor to have an educational tour as you wonder through the museum.  Much more to see than what you might expect for a small town. Admittance is free but consider leaving a donation. The staff were very friendly and welcoming.
Finney County Museum,"403 S 4th St, Garden City",Garden City,4.7,76,37.9602562,-100.8709223,"museum, point_of_interest, establishment","Great place to take the family, it's a great zoo and it is free to go.. I don't know of any other zoos that are free. They have a good playground inside the zoo and a carousel 🎠"
Largest Flag in Kansas,"1621 E Fulton St, Garden City",Garden City,5,4,37.9644498,-100.8531528,"point_of_interest, establishment",What a beautiful sight driving down Fulton Street and seeing the American 🇺🇸 flying high over my head. Shared on my Facebook page and of course your wonderful business in the background .
Garden City Water Tower,"103 US-50 BUS, Garden City",Garden City,3.8,13,37.9754223,-100.8722267,"point_of_interest, establishment","Forget everything you know about water towers!  This one is special.   It's a tower.   With water IN IT!  The locals call it the ""water tower"".  Take the kids for a fun filled adventure.
(Make sure you take water off the day is hot - water isn't provided for the self- paced tour)"
Hamilton County Historical,"102 N Gates St, Syracuse",Syracuse,4.3,3,37.9804503,-101.7514317,"museum, point_of_interest, establishment",
Stanton County Museum,"104 E Highland Ave, Johnson City",Johnson City,4.9,15,37.5633303,-101.7496836,"tourist_attraction, museum, point_of_interest, establishment","A small museum. Has lots of local history. It's not like a big city museum but I really enjoyed it!!! I love the local history and pics...etc. Kind of takes you back to another time! The girl there, attendant, was very nice! There was not a fee to get in but there is a donation box (we left donations as we had planned to pay to get in anyway)."
Kearny County Museum,"111 S Buffalo St, Lakin",Lakin,4.7,13,37.9385003,-101.2566896,"museum, tourist_attraction, point_of_interest, establishment","Free exhibit of many items related to the origin and founding of the county. As well as exhibits of everyday life from the founding to the present. Pioneer life, bones of mammoths, native Americans, and local service people are just examples. So much to see. Please remember to give a donation."
Santa Fe Trail Historical Marker,"69H3+GC, Richfield",Richfield,0,0,37.2288084,-101.6464368,"tourist_attraction, point_of_interest, establishment",No description available
former AT&SF Train Depot,"408 E 10th St, Hugoton",Hugoton,0,0,37.1720366,-101.3420197,"point_of_interest, establishment",No description available
Grant County Museum,"300 E Oklahoma Ave, Ulysses",Ulysses,4.8,6,37.5769426,-101.3552174,"museum, tourist_attraction, point_of_interest, establishment","The people here know their history. I've seen buses from other towns taking their kids through the museum. It's a great experience for all ages. Well worth your time to stop in and take a look.

I personally was interested in the arrowhead and sharks teeth displays."
Stevens County Gas Museum,"905 S Adams St, Hugoton",Hugoton,4.6,27,37.1726755,-101.341629,"museum, point_of_interest, establishment","This museum is awesome, it has so much stuff and is very interesting! And the people that run it are so nice and always helpful with any questions you have."
Old Santa Fe Trail along the northside Cimmaron River,"Old Santa Fe Trail, Elkhart",Elkhart,0,0,37.144442,-101.8558295,"point_of_interest, establishment",No description available
Historic Windsor Hotel,"419 N Main St, Garden City",Garden City,3.3,3,37.9685506,-100.8735898,"museum, point_of_interest, establishment","There are no tours until like May after we came from out of town. The person the phone number belongs to no longer works there but was helpful.
To get info and follow Hotel go to Finney County Preservation and Alliance- Windsor Hotel………Facebook page!!!

We will definitely come back when it opens later in the year!!!"
Clint Lightner Field,"706 E Maple St, Garden City",Garden City,4.4,66,37.960144,-100.866711,"park, point_of_interest, establishment","Wonderful Historic Ballpark in Western Kansas, home of the Garden City Wind of the Pecos League"
Deerfield Texaco Service Station,"105 E 6th St, Deerfield",Deerfield,5,1,37.9796221,-101.1342162,"tourist_attraction, point_of_interest, establishment",The Deerfield Texaco Service Station was built in 1923 on the old US Highway 50. It looks great and seems to be in the process of getting restored. There’s plenty of parking so you can get out of your car and stretch your legs and get a picture to commemorate your visit to Deerfield.
Conestoga Trailhead,"Old Santa Fe Trail, Richfield",Richfield,4.5,2,37.201023,-101.719629,"park, point_of_interest, establishment",Neat place to visit a must see just need a vehicle with good ground clearance and good weather to see!
Samson of the Cimarron bridge,"11772 Rd R, Liberal",Liberal,5,5,37.1497254,-100.7534909,"point_of_interest, establishment","Stunning bridge, a gorgeous and enduring feature of engineering."
Wagon Bed Spring,Sullivan,Sullivan,4.5,2,37.39835619999999,-101.3707193,"natural_feature, establishment","I have tried to get to the spring twice. The roads where flooded the first time and today I could get to the turn off road to the spring and it is fenced off. I went around to two other routes to the spring and they were fenced off as well. Not sure how to get to it. I reached out to the Ulysses tourist board for further information on how to access this national monument.

Update: I received a call back from tourist board and they looked into the matter and made me aware of some road wash outs that were being repaired and an event coming up 8/19/2023. I look forward to visiting then to see the site."
