Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Noland House,"216 N Delaware St, Independence",Independence,4.5,21,39.0935769,-94.4240581,"tourist_attraction, point_of_interest, establishment",Free to enter and look around. The Noland house belonged to Harry's aunt and uncle. Lovely artifacts and photographs are preserved wonderfully by the National Parks Service. Parking is available on the nearby streets.
Kansas City Workhouse,"2001 Vine St, Kansas City",Kansas City,4.4,427,39.0878568,-94.5629549,"tourist_attraction, point_of_interest, establishment","This is such a neat abandoned castle. The colorful graffiti don’t detract from the beauty but highlights it. For fans of architecture, history or abandoned places definitely worth a stop."
Blue Springs Historical Society,"101 SW 15 St, Blue Springs",Blue Springs,4.7,36,39.0182906,-94.2816462,"museum, tourist_attraction, point_of_interest, establishment","Great historical museum about Blue Springs! They also have a beautiful, Italian-like perennial garden that is pleasant to wall through."
“The Bridge”,"On Independence Ave at Wilson Eastbound, Kansas City",Kansas City,4.9,45,39.1049899,-94.5130336,"point_of_interest, establishment",After seeing the Facebook page I had to see it. The bridge wasn't hungry the day I went. New murals are beautiful.
Santa Fe National Historic Trail Marker 1913,"6601 E 93rd St, Kansas City",Kansas City,4.5,18,38.9561559,-94.51347439999999,"point_of_interest, establishment","Just pulled over to admire the beautiful sunset, while there I actually read the information about the history or through TRAILS. I was actually intrigued by the history, unexpected gem in the city"
Historic Lecompton,"640 E Woodson Ave, Lecompton",Lecompton,4.7,132,39.0445903,-95.3921085,"museum, tourist_attraction, point_of_interest, establishment",This museum is definitely worth your time for a nostalgic trip to the past. From the beautiful and historic Christmas tree displays to all of the artifacts from the wars and time gone past. This museum is a real gem.
Thomas Hart Benton Home and Studio State Historic Site,"3616 Belleview Ave, Kansas City",Kansas City,4.7,153,39.0620475,-94.5977733,"tourist_attraction, museum, point_of_interest, establishment","The outside of the house was nice. The art studio where Thomas Hart painted his artwork was even more special. The inside felt like an actual lived-in historic home even including an early-1970s TV set, paintings, and cozy spaces to complete. Although there is a small $5 admission fee per person, it was worth it."
Tonganoxie Historical Society and Museum,"201 W Washington St, Tonganoxie",Tonganoxie,4.9,34,39.1054415,-95.09654119999999,"museum, tourist_attraction, point_of_interest, establishment",Was so surprised to see a picture of my grandmother! She grew up here on the Korb farm but didn’t know they had information about them at the museum!
Leavenworth County Historical,"1128 5th Ave, Leavenworth",Leavenworth,4.6,52,39.3066282,-94.9178134,"museum, tourist_attraction, point_of_interest, establishment","This was an incredible house kept in pristine condition! Amazing attention to detail including pocket doors, transom windows, stained glass, hand-carved woodwork, and very knowledgeable tour guides!"
Pharis Farm Historic Site,"20611 EE Hwy, Liberty",Liberty,5,2,39.2461138,-94.4191177,"point_of_interest, establishment","Christmas at the Pharis Farm 12/2/23.
Beautiful historic home decked out for the holidays. Santa and Mrs. Claus were perfect! The children were entranced with Santa and Mrs. Claus was whipping up delicious treats. The elves were in the log cabin, providing delicious snacks."
Bent and Ward Houses,"1032 W 55th St, Kansas City",Kansas City,4.3,6,39.0285107,-94.60145639999999,"point_of_interest, establishment",My Great Uncle Fred and Great Aunt Clela owned this property  when I was growing up. I have a lot of good memories of this beautiful home. Every time I go to Kansas City I drive by and reminisce. I'm very pleased to see that it has been well kept!
Owens-Rogers House,"100 W Moore St, Independence",Independence,5,4,39.1025463,-94.41546819999999,"point_of_interest, establishment",What a lovely place.  I learned so much about Ginger Rogers and her mother Lela. It was so beautifully redone.  Audrey gave a great an informational tour.  I will be back to bring my mother.
Hadley Island,Kansas City,Kansas City,4.5,11,39.0818068,-94.65326449999999,"point_of_interest, establishment","Cool little island, mixture of mud and sand, there is a sandish beach on the south west side. The channel on northeast side is strewn with wreckage do not take a fragile boat in that area. Tons of stuff lurking under the water. The channel on the southwest side is clear and passable.

I was told there once was a structure on this island but I did not hike enough of the island to find any remnants."
Grinter Place State Historic Site,"1420 S 78 St, Kansas City",Kansas City,4.5,137,39.074941,-94.76010579999999,"tourist_attraction, museum, point_of_interest, establishment","Amazing experience! The expert on hand gave us a very thorough tour and was exceptionally knowledgeable!!! I'd go back again to learn more about KS. My son, who is 14yo, also really enjoyed the tour- Which is rare for a teenager! No real hands-on activities or touching of objects- may not be the most entertaining for small children."
"Historic Linden, Missouri","6998-6900 N Campbell St, Gladstone",Gladstone,4,5,39.2201341,-94.56935109999999,"point_of_interest, establishment",Historic marker giving a brief history of the area.
Raytown Historical Society & Museum,"9705 E 63rd St, Raytown",Raytown,4.7,16,39.0084644,-94.4668538,"museum, tourist_attraction, point_of_interest, establishment",I haven’t been yet so this is more of a question than a review. I was just wondering if the place is haunted. I gave it 3 stars because..why not
Monticello Community Historical Society,"23860 W 83rd St, Shawnee",Shawnee,4.3,10,38.97801,-94.862608,"museum, point_of_interest, establishment","Very small place with a focus on only one man who had a connection with Buffalo Bill Cody. It is an old converted fire station,  but there is barely any history about the station. Aside from one saved fire truck that was passed over.

The tour I got was heavily one sided in favor of white settlements. Native American tribes were described to me as Indians to be domesticated. The guide wasn't shy about his distaste and disappointment that some settlers married women from native tribes.

He made it a point to skirt around evidence that some settlements and farms in the area were built and maintained with the work of slaves. When I hinted to that, I was ignored. In that museum, the narrative is that black people and other minorites living in historical times were not worth the effort of research."
"Santa Fe Trail Marker, Gillham Road","3821 Gillham Rd, Kansas City",Kansas City,4.1,7,39.0572401,-94.5815805,"tourist_attraction, point_of_interest, establishment",Navha is a church that i start to come to 8years go i was in welcome to come to to work with 24-7pray usa. In my life that help people get the blessing that i Joyful to there i can  bless
