Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Harvey County Historical Society,"203 N Main St, Newton",Newton,4.8,16,38.0442092,-97.345556,"museum, point_of_interest, establishment",I have so much Respect for the Harvey County Historical Society.  We as a community of Harvey County are blessed to have them. We have no future without reminders of our past.  I'm very grateful to have been a part of the reenactment!
Haystack Mound,"R3F9+VM, Brookville",Brookville,5,2,38.824631,-97.9308,"point_of_interest, establishment","Another ancient Native American spiritual mound. This one is a precise conical mound shaped like a stack of strewn hay, hence the name given to this West Saline County natural & artificially man-made by a previous indigenous culture that spanned this area, predominantly Ellsworth and Rice Counties just to the West  and South Southwest of this mound. Nearby Native American mounds that are also nearby are the
•TWIN MOUNDS- in NW Saline Co. (Glendale)

•NORTH POLE MOUND- on the Northern Saline and SouthOttawa Co. line

•IRON MOUND-a few miles east of Salina is a platform Mound that looks just like Monk's Mound in Cahokia

•SOLDIER'S CAP MOUND- a tabletop Mound on the Smoky Hill Weapons Range

•TWIN MOUNDS- near Roxbury in Northern McPherson and SE Saline County.

•CORONADO HEIGHTS- Yep, even Coronado Heights was an ancient Mound that the WPA built a castle on top of in the 1930's proclaiming Francisco Coronado was here. (In truth, this is wrong it was actually SSW of Lindsborg somewhere closer to Lyons or Little River, Kansas area)."
Historic McPherson Sante Fe Depot,"400 N Chestnut St, McPherson",McPherson,4.4,5,38.3723454,-97.6711772,"point_of_interest, establishment",Cool Old Building. Atmosphere was nice. The Old man in Coveralls was a bit Handsy. The Taco were Yummy.
Old Mill Plaza,"301 N Main St, Newton",Newton,4.8,13,38.0452683,-97.34526380000001,"point_of_interest, establishment","I recently dined here and was thoroughly impressed with the culinary experience. The shrimp was perfectly cooked and seasoned, offering a delightful burst of flavor with each bite. The truffle mac and cheese was a true highlight, rich and creamy with the perfect hint of truffle. To top it off, the pork chops were tender and juicy. The ambiance was cozy and inviting, and the service was exceptional.

Additionally, the restaurant boasts a great bar with decent specials, making it an ideal spot for both dining and socializing. This is definitely a place I'll be returning to soon!"
Soldiers and Sailors Monument,"101 E 1st Ave, Hutchinson",Hutchinson,4,3,38.0532316,-97.92988100000001,"point_of_interest, establishment","The Soldiers and Sailors Monument in downtown Hutchinson is truly a sight to behold. Standing tall, it serves as a poignant memorial to honor our veterans. The monument is flanked by two large cannons, adding to its majestic presence. At the base, beautiful flowers are meticulously maintained, providing a serene and respectful atmosphere. It's a fitting tribute to those who have served, and a must-see for anyone visiting Hutchinson."
Salt Discovery Well,"1 Discovery Lp, South Hutchinson",South Hutchinson,4.6,11,38.0137317,-97.9458296,"tourist_attraction, point_of_interest, establishment","Learning that salt was discovered in Hutchinson, Kansas was pretty awesome! No wonder it's called the Salt City! How cool is that this obscure little town out in the middle of nowhere is famous for so many things that I didn't even know of!"
Old Whitewater Jail,Whitewater,Whitewater,5,3,37.9632003,-97.15026929999999,"point_of_interest, establishment","An old, but well maintained calaboose."
Fry'sRuts,"2939-2941 Ave P, Little River",Little River,5,2,38.3020727,-97.9555163,"point_of_interest, establishment",
Former Rock Island Railroad Depot,Hutchinson,Hutchinson,3.8,6,38.0473891,-97.9297192,"point_of_interest, establishment",It was well lit and easy to get to
Chisolm Trail Crossing Santa Fe Trail,"30th Ave, Canton",Canton,4,7,38.3770911,-97.3718299,"point_of_interest, establishment","I only gave 3 stars because although I enjoyed driving down the back country roads, the landmarks were vague. Theyvwere well marked out along the route, but you have to use your imagination and knowledge of that era to get a good mental picture of what the trail is all about. The trail is only for serious history buffs."
Twin Mounds,"R45X+W6, Brookville",Brookville,5,1,38.8098712,-97.8519902,"point_of_interest, establishment",
Site of First Free Ferry on Smoky Hill River Marker,"115-101 S 4th St, Salina",Salina,5,1,38.8404167,-97.6069887,"point_of_interest, establishment","When I was growing up in Salina I never knew the importance of Iron Street for the old bridge that used to be there. Since Salina was founded primarily around Iron Ave & Santa Fe, more precisely (Iron Ave & 5th St), which on the SW corner where Carol Lee Donuts is now used to sit the first dwelling ever built in Salina in the year 1858. That little tidbit of information knowing where Salina Kansas was first founded will explain the reason why the exact center of where streets become directionally divided is based at Iron Ave & Santa Fe Ave. [i.e. Anything house or business address that sits N of Iron Ave is designated as North in the address, anything S is South. Also, anything that sits E of Santa Fe Ave is East in the address, and vice-versa anything W of Santa Fe Ave is West. For instance Salina Community Theater is 303 East Iron and the Smoky Hill Museum is 211 West Iron.]"
The Flag Our Fathers Saved,"R9MW+MW, Salina",Salina,3,1,38.8341622,-97.6026792,"point_of_interest, establishment",Thought  this  deserved a  photograph  to  prove it  actually  exists. Easy  to  miss  historical  monument.
Santa Fe Trail Marker,"22nd Ave, Galva",Galva,4.8,4,38.34976229999999,-97.51937629999999,"point_of_interest, establishment",Stop and read the history of the area and the people who came before us.
Chimney Sweep,"US-81, McPherson",McPherson,5,5,38.3116435,-97.6142778,"point_of_interest, establishment",He definitely stands out by himself!
