Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Indian Mound,Hartland,Hartland,4,1,37.8952384,-101.3393055,"point_of_interest, establishment",Beautiful and peaceful.  Very interesting history behind it.
Historic Adobe Museum,"300 E Oklahoma Ave, Ulysses",Ulysses,4.8,31,37.5770652,-101.3552232,"tourist_attraction, museum, point_of_interest, establishment",A sudden change in weather forced us to cancel our distance travel plans so decided to make a short trip to visit this museum since we already had day together planned. Was well worth the 30 minute drive. An excellent museum that showcases the changes in the area over the past 150 years. The exhibits are well put together and organized for a visitor to have an educational tour as you wonder through the museum.  Much more to see than what you might expect for a small town. Admittance is free but consider leaving a donation. The staff were very friendly and welcoming.
Finney County Museum,"403 S 4th St, Garden City",Garden City,4.7,76,37.9602562,-100.8709223,"museum, point_of_interest, establishment","Great place to take the family, it's a great zoo and it is free to go.. I don't know of any other zoos that are free. They have a good playground inside the zoo and a carousel 🎠"
Largest Flag in Kansas,"1621 E Fulton St, Garden City",Garden City,5,4,37.9644498,-100.8531528,"point_of_interest, establishment",What a beautiful sight driving down Fulton Street and seeing the American 🇺🇸 flying high over my head. Shared on my Facebook page and of course your wonderful business in the background .
Garden City Water Tower,"103 US-50 BUS, Garden City",Garden City,3.8,13,37.9754223,-100.8722267,"point_of_interest, establishment","Forget everything you know about water towers!  This one is special.   It's a tower.   With water IN IT!  The locals call it the ""water tower"".  Take the kids for a fun filled adventure.
(Make sure you take water off the day is hot - water isn't provided for the self- paced tour)"
Hamilton County Historical,"102 N Gates St, Syracuse",Syracuse,4.3,3,37.9804503,-101.7514317,"museum, point_of_interest, establishment",
Stanton County Museum,"104 E Highland Ave, Johnson City",Johnson City,4.9,15,37.5633303,-101.7496836,"tourist_attraction, museum, point_of_interest, establishment","A small museum. Has lots of local history. It's not like a big city museum but I really enjoyed it!!! I love the local history and pics...etc. Kind of takes you back to another time! The girl there, attendant, was very nice! There was not a fee to get in but there is a donation box (we left donations as we had planned to pay to get in anyway)."
Kearny County Museum,"111 S Buffalo St, Lakin",Lakin,4.7,13,37.9385003,-101.2566896,"museum, tourist_attraction, point_of_interest, establishment","Free exhibit of many items related to the origin and founding of the county. As well as exhibits of everyday life from the founding to the present. Pioneer life, bones of mammoths, native Americans, and local service people are just examples. So much to see. Please remember to give a donation."
Grant County Museum,"300 E Oklahoma Ave, Ulysses",Ulysses,4.8,6,37.5769426,-101.3552174,"museum, tourist_attraction, point_of_interest, establishment","The people here know their history. I've seen buses from other towns taking their kids through the museum. It's a great experience for all ages. Well worth your time to stop in and take a look.

I personally was interested in the arrowhead and sharks teeth displays."
Tommy Young Ranch,"2351 KS-27, Syracuse",Syracuse,0,0,38.019803,-101.753951,"point_of_interest, establishment",No description available
Historic Windsor Hotel,"419 N Main St, Garden City",Garden City,3.3,3,37.9685506,-100.8735898,"museum, point_of_interest, establishment","There are no tours until like May after we came from out of town. The person the phone number belongs to no longer works there but was helpful.
To get info and follow Hotel go to Finney County Preservation and Alliance- Windsor Hotel………Facebook page!!!

We will definitely come back when it opens later in the year!!!"
Clint Lightner Field,"706 E Maple St, Garden City",Garden City,4.4,66,37.960144,-100.866711,"park, point_of_interest, establishment","Wonderful Historic Ballpark in Western Kansas, home of the Garden City Wind of the Pecos League"
Deerfield Texaco Service Station,"105 E 6th St, Deerfield",Deerfield,5,1,37.9796221,-101.1342162,"tourist_attraction, point_of_interest, establishment",The Deerfield Texaco Service Station was built in 1923 on the old US Highway 50. It looks great and seems to be in the process of getting restored. There’s plenty of parking so you can get out of your car and stretch your legs and get a picture to commemorate your visit to Deerfield.
Garden City Monument Co,"116 W Fulton St, Garden City",Garden City,3.3,3,37.9656704,-100.8750291,"point_of_interest, establishment","Very disappointed in phone conversation when asking for assistance with purchasing a stone. The person I spoke to was not helpful whatsoever and didn’t know anything about the stones on their web page, gave me 2 prices on a standard stones evidently not on the web page. When I told what we were wanting for our loved one as I have never had to do this before, which I explained to her she rudely tells me she is with someone at the moment and I would have to call back later preferable tomorrow or she could call me and never ask a number."
