Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Pratt County Historical Museum,"208 S Ninnescah St, Pratt",Pratt,4.8,66,37.6445462,-98.73800519999999,"museum, tourist_attraction, point_of_interest, establishment","This unassuming diamond in the rough is a must see place to visit when in Pratt, Kansas.

The museum holds an amazing collection of artifacts (photographs, historical documents, collectables and even machinery) from a bygone era!

The displays relate to Pratt County, the town of Pratt and also the state of Kansas.

There are amazing displays of fossils and Indian items (arrowheads and dresses) along with collections of clothes, hats and shoes from the late 19th century into the 20th!

The museum, at first glance appears  deceptively small but in actuality, I believe it takes up most, if not all, of the square block it sits on!

So much so, that when I mentioned ""machinery"" I did not only mean stuff like toasters, typewriters and hand tools but also full on combine engines and John Deere tractors!

In addition, they have many storefronts like a bank, telephone, dentist office, etc., where you can go inside and view how it was set up in the past.

There is just too much at the museum to write it all here. Besides, I am sure that if I returned, I would see/notice stuff that I missed the first go around (and I was there for over 90 minutes).

Finally, a shout out to the very nice ladies that were ""running"" the museum! They were very nice to talk with and gave information as to what more to do while in Pratt!

Highly recommend!"
Kiowa County Historical Museum and Soda Fountain,"320 S Main St, Greensburg",Greensburg,4.7,97,37.603431,-99.2925058,"museum, tourist_attraction, store, food, point_of_interest, establishment","Milkshakes, ice cream, and other sweet treats are tasty. Short wait for food. The museum is interesting and talks about the history of Greensburg and surrounding towns."
Carry Nation Home,"209 W Fowler Ave, Medicine Lodge",Medicine Lodge,4.5,39,37.2756651,-98.58200869999999,"point_of_interest, establishment","There is much to see and learn here, and the curator is the one to talk to, as she is very well informed and more than willing to share her knowledge.

There is much more to Carry Nation and her campaigns then I ever knew. This is the place to visit if you're interested in that time of American history and culture!"
Cannonball Stage Line Highway,"15479 US-54, Greensburg",Greensburg,4.3,37,37.6085445,-99.2754664,"point_of_interest, establishment","Covered picnic tables provided shade. Some tables have bbq grills, too. A nice place to get out and stretch your legs on a long road trip."
Amphitheater at Memorial Peace Park,"3053 SE US HWY 160, Medicine Lodge",Medicine Lodge,4.6,13,37.271854,-98.5523587,"point_of_interest, establishment","Fun, but bring an umbrella because there is no shade. Easy to get to and a fun weekend."
Rodeo Arena at Memorial Peace Park,"2218 Rodeo Dr, Medicine Lodge",Medicine Lodge,4.9,9,37.267717,-98.5659148,"point_of_interest, establishment",We had a fantastic time at the Buckapalooza during the Peace Treaty weekend. Highly recommended!
Stafford County Museum,"100 N Main St, Stafford",Stafford,4.7,13,37.9618726,-98.600179,"museum, point_of_interest, establishment","Had personal tour. It is very interesting, especially if your from central Kansas. Free, but donations accepted."
Barber County Heritage Center,"US-160, Medicine Lodge",Medicine Lodge,4.8,9,37.2763041,-98.5492987,"point_of_interest, establishment",Bingo too
Big Well Museum,"315 S Sycamore St, Greensburg",Greensburg,4.7,660,37.603412,-99.29443789999999,"museum, tourist_attraction, point_of_interest, establishment","Surprised the Mrs with this awesome hand dug well. But when we got inside, I was surprised by the F5 tornado that came through Greensburg, Kansas. And all the pictures they had.
Well worth your time to come and see this one and mark where you came from on their map. ...   gotta love the people that come together and build everyone back together .  Special kind of love ❤️ 😍"
B-29 Museum,"82 Curran Rd, Pratt",Pratt,4.7,13,37.6996544,-98.74193799999999,"museum, point_of_interest, establishment","So much information, multiple trips will be needed to read and enjoy everything. I enjoyed the tour I recieved the night before the race and talking to all of the staff. Race was very good and it was just the first year so next year I can see the race being even more fun."
Kiowa County Museum,"320 S Main St, Greensburg",Greensburg,4.5,2,37.6034632,-99.29266229999999,"museum, point_of_interest, establishment","Pretty Neat little museum about the county.
Soda fountain was nice to get a treat at.
The roof top garden was neat to check out."
St. John Statue of Liberty,St John,St John,0,0,38.00237560000001,-98.76049049999999,"point_of_interest, establishment",No description available
Medicine Lodge Railroad Depot,Medicine Lodge,Medicine Lodge,0,0,37.2812878,-98.5883089,"point_of_interest, establishment",No description available
Hot and Cold Water Towers,"101-199 Green St, Pratt",Pratt,3.9,8,37.6517217,-98.7391608,"tourist_attraction, point_of_interest, establishment",Finally made it to these Pratt icons! Every town should have some attraction that draws passersby in.
Stockade Museum,"209 W Fowler Ave, Medicine Lodge",Medicine Lodge,4.6,56,37.2756653,-98.58193310000001,"travel_agency, museum, store, point_of_interest, establishment","I tried to visit the museum on a Saturday. Although the sign in front and Google maps say that íts hours of operation start from 10:30am on Saturdays, it was closed the first time I came (11am ""ish"") with a sign saying something in the lines of ""we'll come back soon"" so I visited again at noon, same sign there, same situation so I continued my way to Oklahoma. Was pitiful because I came all the way from Central Kansas. Maybe I can give a better review in the future if I find it open."
