Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Oak Grove Ranch Historical Marker,Oak,Oak,4.8,6,40.2303293,-97.8734061,"point_of_interest, establishment","Be sure to download maps or have a physical map with you because cell service is scarce here! Bring water as well, because when I visited in late July it was hot!

Otherwise this is a nice little spot that’s been preserved by the owners of the property with a stone monument detailing the events and some preserved buildings of the era.

Don’t forget to sign the guest book in the small metal mail box in front of the stone monument!"
Site No. JF00-072,"Meridian Rd, Mahaska",Mahaska,5,3,40.0019863,-97.3692044,"point_of_interest, establishment","Great memorial in the middle of nowhere, recognizing the land surveyors!"
Cloud County Historical Museum,"635 Broadway St, Concordia",Concordia,4.9,32,39.5706754,-97.6588463,"tourist_attraction, museum, point_of_interest, establishment",This is really an impressive museum.  You can tell that the efforts of many citizen volunteers went into making this happen.  That is very much to be respected.  It provides a cross-section of the unique way life in the area past and present.
Mitchell County Historical Society Museum,"1915 N Independence Ave, Beloit",Beloit,4.8,6,39.4783376,-98.1175449,"museum, tourist_attraction, point_of_interest, establishment",It has moved and has not been updated in Google Maps
Oregon Trail Historical Marker,Hebron North,Hebron North,5,2,40.2131155,-97.51979639999999,"point_of_interest, establishment","Wasn’t expecting a stone like that, more of those copper signs you see. Having the stone was cool! Definitely down some dirt roads and through corn fields but was fun!"
Indian Captives Historical Marker,Oak,Oak,4.3,4,40.2366509,-97.90382550000001,"church, place_of_worship, point_of_interest, establishment",Nice beautiful signs.
Republic County Historical Museum,"615 28th St, Belleville",Belleville,4.7,6,39.8130197,-97.6353737,"museum, tourist_attraction, point_of_interest, establishment","Very well done  a lot of things to see.
Very low admission$ 3.00 for  adults
I ENJOY  the  naive stone smoke house.
A lot of things did not seem old to me at first. Then I got my smartphone out an did  the math  and found out I am a babyboumer
Thanks for the memories."
Smith Limestone House and Limekiln,"56552 River Rd, Fairbury",Fairbury,5,2,40.19554249999999,-97.22682119999999,"point_of_interest, establishment",
Jewell County Historical Msm,"118 N Commercial St, Mankato",Mankato,4.8,8,39.7864357,-98.20976979999999,"museum, point_of_interest, establishment","I stopped in to do some genealogy research, and Deb was a great help!  Sadly I didn’t have time to explore the museum itself, but it looked like there was lots a great things to see.  I love these small town museums, they are always full of interesting things you won’t find anywhere else.  This will be on my list to go back and see fir sure."
Pachta homestead,"1315 County Rd N #22, Cuba",Cuba,1,1,39.8294677,-97.53820689999999,"point_of_interest, establishment","There were bloody panties on the fence
Not good"
Sixth Principal Meridian Initial Point,"Meridian Rd, Mahaska",Mahaska,4.9,14,40.00197989999999,-97.36896689999999,"point_of_interest, establishment","This place is worth the drive off the highway to see.  It’s 4 miles, but with the rolling hills and farm ground will have you wondering what travel would have been like years ago.  To survey the new territory with primitive equipment unlike what’s available now Oh my gosh."
Seapo Mill,"County Rd 21 5110, Concordia",Concordia,4,1,39.6837119,-97.54611,"point_of_interest, establishment",A beautiful example of a early 20th century limestone home. Sadly vandalized but still beautiful.
Oak Pony Express Historical Marker,"64P3+2G, Oak",Oak,0,0,40.235077,-97.896181,"point_of_interest, establishment",No description available
Thayer County Museum,"110 9th St, Belvidere",Belvidere,4.5,29,40.254812,-97.55883610000001,"museum, point_of_interest, establishment","We roamed the small park. They were not open to going inside the station. Next time, we will go when they are open to learn the history."
Fairbury City Museum,"1128 Elm St, Fairbury",Fairbury,4.4,33,40.143896,-97.18650389999999,"museum, point_of_interest, establishment",Way better organized than when it was on the west side of the square. The curator had done a great job. Certainly worth a visit.
Oregon Trail Historical Marker,"Road S, Oak",Oak,0,0,40.2350646,-97.8965892,"point_of_interest, establishment",No description available
New Scandinavia Memorial,Scandia,Scandia,0,0,39.7983386,-97.78644129999999,"point_of_interest, establishment",No description available
Triple+ R.R. bridges,"Q6P5+RM, Scandia",Scandia,0,0,39.78711800000001,-97.79084499999999,"point_of_interest, establishment",No description available
Fort Brooks - Historical Marker,Mulberry,Mulberry,0,0,39.5668671,-97.337088,"point_of_interest, establishment",No description available
Stone Arch Bridge,"1490 Co Rd 384, Aurora",Aurora,0,0,39.39381900000001,-97.5069082,"point_of_interest, establishment",No description available
