Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Noland House,"216 N Delaware St, Independence",Independence,4.5,21,39.0935769,-94.4240581,"tourist_attraction, point_of_interest, establishment",Free to enter and look around. The Noland house belonged to Harry's aunt and uncle. Lovely artifacts and photographs are preserved wonderfully by the National Parks Service. Parking is available on the nearby streets.
Historic Fort Leavenworth,Atchison,Atchison,3.6,9,39.4322232,-95.08649299999999,"point_of_interest, establishment",The sign is 13 miles from said fort. Where is the historic fort itself? Probably 13 miles behind you. Or maybe it’s gone and replaced by the new fort. Don’t expect answers from this “site.”
Kansas City Workhouse,"2001 Vine St, Kansas City",Kansas City,4.4,427,39.0878568,-94.5629549,"tourist_attraction, point_of_interest, establishment","This is such a neat abandoned castle. The colorful graffiti don’t detract from the beauty but highlights it. For fans of architecture, history or abandoned places definitely worth a stop."
Blue Springs Historical Society,"101 SW 15 St, Blue Springs",Blue Springs,4.7,36,39.0182906,-94.2816462,"museum, tourist_attraction, point_of_interest, establishment","Great historical museum about Blue Springs! They also have a beautiful, Italian-like perennial garden that is pleasant to wall through."
Atchison County Historical Society,"Santa Fe Depot, 200 S 10th St, Atchison",Atchison,4.6,73,39.5599814,-95.1272359,"museum, point_of_interest, establishment",Excellent history stop in the old depot. Atchison holds a lot of history & it's packed into this place. Great picture ops sitting in the old train engine.  Free will donation so anyone can visit! Several other fun quick stops in this town...highly recommend spending a cpl hours if passing through.
“The Bridge”,"On Independence Ave at Wilson Eastbound, Kansas City",Kansas City,4.9,45,39.1049899,-94.5130336,"point_of_interest, establishment",After seeing the Facebook page I had to see it. The bridge wasn't hungry the day I went. New murals are beautiful.
Santa Fe National Historic Trail Marker 1913,"6601 E 93rd St, Kansas City",Kansas City,4.5,18,38.9561559,-94.51347439999999,"point_of_interest, establishment","Just pulled over to admire the beautiful sunset, while there I actually read the information about the history or through TRAILS. I was actually intrigued by the history, unexpected gem in the city"
Grain Valley Historical Society,"506 N Main St, Grain Valley",Grain Valley,4.8,4,39.0154106,-94.1983493,"museum, tourist_attraction, point_of_interest, establishment","We recently rented out the Grain Valley Historical Society for a gender reveal. The price was unbeatable, $100 for half of the day and $150 for the whole day.! There was plenty of table space and tons of extra chairs and some extra tables. There is a small kitchenette area with a full size fridge and a coffee pot, sink, and microwave (no stove/oven)

The space has a men’s and a women’s restroom which was great for everyone at our event.

parking wasn’t bad either because the strip mall has numerous parking lot spaces all around it and across the street.

I highly recommend using this space for any event. 😁😁 10/10"
Thomas Hart Benton Home and Studio State Historic Site,"3616 Belleview Ave, Kansas City",Kansas City,4.7,153,39.0620475,-94.5977733,"tourist_attraction, museum, point_of_interest, establishment","The outside of the house was nice. The art studio where Thomas Hart painted his artwork was even more special. The inside felt like an actual lived-in historic home even including an early-1970s TV set, paintings, and cozy spaces to complete. Although there is a small $5 admission fee per person, it was worth it."
Tonganoxie Historical Society and Museum,"201 W Washington St, Tonganoxie",Tonganoxie,4.9,34,39.1054415,-95.09654119999999,"museum, tourist_attraction, point_of_interest, establishment",Was so surprised to see a picture of my grandmother! She grew up here on the Korb farm but didn’t know they had information about them at the museum!
Leavenworth County Historical,"1128 5th Ave, Leavenworth",Leavenworth,4.6,52,39.3066282,-94.9178134,"museum, tourist_attraction, point_of_interest, establishment","This was an incredible house kept in pristine condition! Amazing attention to detail including pocket doors, transom windows, stained glass, hand-carved woodwork, and very knowledgeable tour guides!"
Pharis Farm Historic Site,"20611 EE Hwy, Liberty",Liberty,5,2,39.2461138,-94.4191177,"point_of_interest, establishment","Christmas at the Pharis Farm 12/2/23.
Beautiful historic home decked out for the holidays. Santa and Mrs. Claus were perfect! The children were entranced with Santa and Mrs. Claus was whipping up delicious treats. The elves were in the log cabin, providing delicious snacks."
Bent and Ward Houses,"1032 W 55th St, Kansas City",Kansas City,4.3,6,39.0285107,-94.60145639999999,"point_of_interest, establishment",My Great Uncle Fred and Great Aunt Clela owned this property  when I was growing up. I have a lot of good memories of this beautiful home. Every time I go to Kansas City I drive by and reminisce. I'm very pleased to see that it has been well kept!
Owens-Rogers House,"100 W Moore St, Independence",Independence,5,4,39.1025463,-94.41546819999999,"point_of_interest, establishment",What a lovely place.  I learned so much about Ginger Rogers and her mother Lela. It was so beautifully redone.  Audrey gave a great an informational tour.  I will be back to bring my mother.
Hadley Island,Kansas City,Kansas City,4.5,11,39.0818068,-94.65326449999999,"point_of_interest, establishment","Cool little island, mixture of mud and sand, there is a sandish beach on the south west side. The channel on northeast side is strewn with wreckage do not take a fragile boat in that area. Tons of stuff lurking under the water. The channel on the southwest side is clear and passable.

I was told there once was a structure on this island but I did not hike enough of the island to find any remnants."
